CRN,CODE,TITLE,CR,DATE,DAYS,TIME,COST
13962,ENGL110M,College Composition I (P)Students are required to bring their own laptop/tablet,4,8/28-12/15,T R,2-3:40pm,$904
13963,ENGL110M,College Composition I (P),4,8/28-12/15,R,8-11:20am,$904
13964,ENGL110M,College Composition I (P),4,8/28-12/15,W,11am-2:20pm,$904
13965,ENGL110M,College Composition I (P)Students are required to bring their own laptop/tablet,4,9/25-12/15,M W,2-4:15pm,$904
13966,ENGL110M,College Composition I (P)Students are required to bring their own laptop/tablet,4,8/28-12/15,M W,5-6:40pm,$904
13967,ENGL110M,College Composition I (P),4,8/28-12/15,T R,5-6:40pm,$904
13968,ENGL110M,College Composition I (P),4,8/28-12/15,T R,7-8:40pm,$904
13969,ENGL110M,College Composition I (P),4,8/28-12/15,W,5-8:20pm,$904
13970,ENGL110M,College Composition I (P),4,8/28-12/15,M W,11am-12:40pm,$904
13971,ENGL110M,College Composition I (P),4,8/28-12/15,M W,2-3:40pm,$904
13972,ENGL110M,College Composition I (P),4,9/25-12/15,T R,2-4:15pm,$904
13973,ENGL110M,College Composition I (P)Students are required to bring their own laptop/tablet,4,8/28-12/15,M W,8-9:40am,$904
14395,ENGL110M,College Composition I (P)Students are required to bring their own laptop/tablet,4,8/28-12/15,T R,11am-12:40pm,$904
14450,ENGL110M,College Composition I (P)Students are required to bring their own laptop/tablet,4,8/28-12/15,F,2-5:20pm,$904
14476,ENGL110M,College Composition I (P),4,9/25-12/15,,Online,$904
17146,ENGL110M,College Composition I (P)Students are required to bring their own laptop/tablet,4,8/28-12/15,S,9am-12:20pm,$904
13974,ENGL113M,Introduction to Public Speaking,3,8/28-12/15,F,8-10:30am,$678
13975,ENGL113M,Introduction to Public Speaking,3,8/28-12/15,W,11am-1:30pm,$678
13976,ENGL113M,Introduction to Public Speaking,3,8/28-12/15,R,6-8:30pm,$678
13977,ENGL113M,Introduction to Public Speaking,3,8/28-12/15,M,5-7:30pm,$678
13978,ENGL113M,Introduction to Public Speaking,3,8/28-12/15,M,2-4:30pm,$678
13979,ENGL113M,Introduction to Public Speaking,3,10/23-12/15,T R,2-4:30pm,$678
13980,ENGL113M,Introduction to Public Speaking,3,8/28-12/15,W,2-4:30pm,$678
17147,ENGL113M,Introduction to Public Speaking,3,8/28-12/15,S,9-11:30am,$678
13984,ENGL203M,Introduction to Journalism (P),3,8/28-12/15,W,11am-1:30pm,$678
